Artist,Venue,Location,Date,Year,Price,With,Notes,Setlist,Img,HL,VHL,W
Drivebys,Lending Room,Leeds,07-Mar,2026,,Katrina,Support,,,0,0,0
Señor Pink,Lending Room,Leeds,07-Mar,2026,,Katrina,Support,,,0,0,0
Scustin,Lending Room,Leeds,07-Mar,2026,0,Katrina,,,,1,1,1
Beauty School,Leeds University Refectory,Leeds,06-Mar,2026,,Solo,Support,,,0,0,0
Delta Sleep,Leeds University Refectory,Leeds,06-Mar,2026,,Solo,Support,,,0,0,0
Hot Mulligan,Leeds University Refectory,Leeds,06-Mar,2026,29.82,Solo,,,,1,1,1
Mr Shiraz,Fulford Arms,York,05-Mar,2026,,Katrina,Support,,,0,0,0
Hidden Youth,Fulford Arms,York,05-Mar,2026,,Katrina,Support,,,0,0,0
Bruise Control,Fulford Arms,York,05-Mar,2026,13.7,Katrina,,,,1,1,1
Love Rarely,Brudenell Social Club (Community),Leeds,26-Feb,2026,,Solo,Support,,,0,0,0
Knives,Brudenell Social Club (Community),Leeds,26-Feb,2026,,Solo,Support,,,0,0,0
The Callous Daoboys,Brudenell Social Club (Community),Leeds,26-Feb,2026,20.2,Solo,,,,1,1,1
Pijn,Manchester Club Academy,Manchester,19-Feb,2026,,Solo,Support,,,0,0,0
VS Self,Manchester Club Academy,Manchester,19-Feb,2026,,Solo,Support,,,0,0,0
La Dispute,Manchester Club Academy,Manchester,19-Feb,2026,35.34,Solo,,,,1,1,1
Cold Night For Alligators,Key Club,Leeds,15-Feb,2026,,Solo,Support,,,0,0,0
Tayne,Key Club,Leeds,15-Feb,2026,,Solo,Support,,,0,0,0
MØL,Key Club,Leeds,15-Feb,2026,21.3,Solo,,,,1,1,1
Shoreline,Project House,Leeds,13-Feb,2026,,Solo,Support,,,0,0,0
Koyo,Project House,Leeds,13-Feb,2026,,Solo,Support,,,0,0,0
Ben Quad,Project House,Leeds,13-Feb,2026,,Solo,Support,,,0,0,0
Arm's Length,Project House,Leeds,13-Feb,2026,26.25,Solo,,,,1,1,1
Shoreline,The Grove,Newcastle,10-Feb,2026,,Solo,Support,,,0,0,0
Koyo,The Grove,Newcastle,10-Feb,2026,,Solo,Support,,,0,0,0
Ben Quad,The Grove,Newcastle,10-Feb,2026,,Solo,Support,,,0,0,0
Arm's Length,The Grove,Newcastle,10-Feb,2026,26.25,Solo,,,,1,1,1
