Location,Lat,Long,UK
Leeds,53.800755,-1.549077,1
Manchester,53.4792,-2.244164,1
London,51.506157,-0.124766,1
Newmarket,52.244725,0.408516,1
York,53.957661,-1.081023,1
Bramham Park,53.866062,-1.374684,1
Newcastle,54.973988,-1.603781,1
Sheffield,53.374317,-1.470113,1
Huddersfield,53.64708,-1.786181,1
Dublin,53.349804,-6.26031,1
Hull,53.746711,-0.333709,1
Birmingham,52.475671,-1.902575,1
Bradford,53.793939,-1.751127,1
Cambridge,52.203483,0.123548,1
Doncaster,53.522982,-1.137097,1
Edinburgh,55.952045,-3.184017,1
Hatfield,51.762719,-0.225829,1
Hertford,51.795006,-0.077136,1
Hitchin,51.938254,-0.279304,1
Milton Keynes,52.039378,-0.777459,1
Norwich,52.624894,1.297051,1
St Albans,51.743102,-0.33702,1
Stamford,52.651583,-0.480123,1
Stockton,54.563613,-1.311907,1
Temple Newsam,53.776211,-1.45361,1
Twice Brewed,54.995877,-2.389936,1
Uden,51.659688,5.616366,0
Hebden Bridge,53.740749,-2.01225,1
Copenhagen,55.676098,12.568337,0
Middlesbrough,54.575823,-1.237133,1
Werchter,50.967665,4.683927,0
Upcote Farm,51.843034,-1.969941,1
Budapest,47.497913,19.040236,0
Sunderland,54.904449,-1.38145,1
Carlisle,54.895061,-2.93355,1
Southampton,50.909698,-1.404351,1
Lincoln,53.22936,-0.540415,1
Huntingdon,40.8682,73.4257,0
Wroot,53.5222,-0.9336,1
New York,40.7128,74.006,0
Kyoto,35.011665,135.768326,0
Tokyo,35.652832,139.839478,0
Holmfirth,53.570259,-1.78765,1
Florence,43.7696,11.2558,0
Cardiff,51.4837,-3.1681,1
Nottingham,52.954,-1.155,1
Brighton,50.827778,0.152778,1
Bristol,51.454514,-2.58791,1
Harrogate,53.9921,-1.5418,1
Lyon,45.764,4.8357,0
Fernhill Farm,51.2864,-2.7603,1
Glasgow,55.860916,-4.251433,1
Stirling,56.1166,-3.9369,1
